,nickname,lane,team,country,tier,point,name,accountId,id,puuid
33,Zzus,Support,No Team,Korea,Challenger,"1,173",FA zzuss,007KIhF5NH1v3QlzFEA7X-L98eg7NBCqwmUqUi6kjayLmPvqJkxL6TNE,l8LJ7UqeUc3sdEPZL7e8azriqHE8sWFfrgrkuj441M6Pp24,HUW7woPKtdG6qzKgQd4SEaDpZd_foC49EXmAMX9VP3R6Mgn_idWxnBLk6A1iKajcd9WZJYVCnAhOLA
34,Kabbie,Support, SANDBOX Gaming,Korea,Challenger,"1,171",콩알벌래,AByyJFM1WFRcaTFrv0dqNYQDmtZSIpd3yEwthFWJd63BeS6Yoh4qBm0T,lN2XjbVZzSCp2fo52CvH7Zy4pRB_ajWaJB2GO3xqLM0XRi4,8AOmr4o7YdZVgxOdgckg948XlN5SRZsVj_OOUEdHBZNZfiaYaq2OMyjNE6nTeMoBChArPjfewzLIhg
35,Ruby,Mid,No Team,China,Challenger,"1,168",FA Ruby,jxVC7dAS3QsZAtCq8pokf2C1fPvqQJbZLYwl6__YRQLuM7s,xRxA79iKjHqX9qGh4_-AVKC9Pxn8pBk1ZkExP6X0vAXKgeM,bJ9JSteqsmskyBuV5aMmJSHXQ_abIBtbYT24gUBHLaxoDUHLK1qTdwjqd2B6TNLolDpfqM8NkiWJOw
36,Lava,Mid, hyFresh Blade,Korea,Challenger,"1,163",BRB 라바,jbn9CFQNo2pWL42_keulDfeyLnuIUt1tScHMzuEm2bSFCQw,ssqJVUJ-UXwQaGM8eDuCm-2bicImSMe9KSjiwI02UfCP28U,xHgvY1t6SbrndANGcDY9B4e-FLtE4zoACvM5ddo8cijUSIhlasxQ7FDNkeQsVqJQF7XNDRMJa_UM2Q
37,Ruler,ADC, Gen.G,Korea,Challenger,"1,149",황금고블린1,cySfKfBxjAZcjFpZyj_tselIZAlZCmiBtUgIsxgZ_sDDJifM-ljQ7tKi,0057pN1CkY-3lLqVHwYUTsL7kz4RusuMUoN2LwUnEZyXgfg,0FyZEjX7379Tprn6aIPUc5TAQeqtjRZNcuEPmO1rlQwXedSZkKnagkB7dRwtA-tu6X4BMDauFN5JIA
38,BBD,ADC,No Team,China,Challenger,"1,147",40900202,R6ThfwV9VHrkfRL22miG40i8N1RQwOeqpS8QqqHHZJtioaDhRiDuHcQW,Cem4yNqAKCe4ni0Tn0U4b0PPrxlHzNjLhHU7lI0nqaDVoAE,rHBoA5DvVYMGxwH1W0GSvrJ5S9wFKiVp8z7x3db0Ki5MdtQHLEg5UQFVaGziMoz6k4qSwYKoNKJQCQ
39,XLB,Jungle, Royal Never Give Up,China,Challenger,"1,145",need time xxx,wC3HYL9wmfZZneYo1A_1oximDqb1h-HXA0JcMA51hkgogvGd8E_EAW2H,klnkXNYMfvHMrojZ4nVPKnGp_qX5kBcaS12zG8dqNONoImY,yJobB2z662ssh07jqiZtTdm8vupOBlrMSVUKDAe4nSWLRd6LzBh4MX1bG7EqxCAKu_vEfXkF4c219A
40,MID,Mid, KT Rolster Academy,Korea,Challenger,"1,142",KT VicLa,7Sxlh7Lp2NRxUf39I1u-b-V6al5_c6DEWDMOkdxskB4eov2pHK4txW2M,PuzKmRLsz_TP-BAxcV2q_WsAHJM_a3M72OXpW_Ew2wN-K4U,vUqjce3we7LYc1KBzBgcPQzDDfmwsdayBIW2wD7mo_b0dexg7WOBitW2h-EMRqIMbTRYs3EC6ayRYA
41,Ellim,Jungle (Sub), T1,Korea,Challenger,"1,133",T1 Ellim,YDHgSgTfSt3iBYmyJWdfuqGu1GPBvwdfa0dMCZp-dHrP8Pw,Z0lo1YamNS1-Bg_UMqY-0_M7TEmOVLO6_m8IkbRdSSFYbYA,lL6yUzBPVzQVi0vWi_--77Ehysiq--EOEY53sNqzt8fc0DgC9SE1_tFhmK1_iqHRIJAXiPkD17Y0lw
42,Lonely,Top,No Team,Korea,Challenger,"1,133",SANDBOX Summ1t,2jb8GM2CHIpJn5kKkcUHyOtv8fE_1K-nTTsNL1zz7jYqgXuekiEXuwl2,cSzQZzMsUaECuTZ_LO8l8uOWttkrtSyo2u7a8on67SDeOhw,-LZztVtP0n4UBS7GgsuxkHnXxAsPuqXqnk1hx521bS2St3S5tOMTG7DXwvXWyGgmUOUpcdAa6TxXhw
43,Oner,Jungle, T1,Korea,Challenger,"1,127",T1 Oner,b5DDEIRfdllLt7tOhpdiVep_9AF1axsqJBbkuDqI5Hgv3vc,TeffrVeAyU3ekc8CzP_VfUL3GU0m0vNbBgQF1P_G6h6Y_0M,VOaYRq53UDTtzdmuysYc-Ho2jLnUFgU3nrs-NkNZ5ARulb_4pO3Q3HENCg1qfiOiZCnU2Y2sDE9xJw
